商業名稱,負責人,商業所在地,設立時間,登記項目,year,section.y,
歆奇工作室,黃俊哲,臺北市萬華區西寧南路70之27號,107/01/17,未分類其他服務業,2018,西寧南路,
帆順足體養身館,翁旭壽,臺北市萬華區峨眉街127之1號1樓,107/01/16,傳統整復推拿業按摩業腳底按摩業,2018,峨眉街,
豐采飲料店,王碧忠,臺北市萬華區峨眉街5號地下1層之20、之21,或限制之業務107/01/02飲料店業,峨眉街,2018,峨眉街,
九冠企業社,劉明道,臺北市萬華區武昌街2段116之3號,107/01/11,飲料店業,2018,武昌街2段,
兆昌娛樂企業社,蔡耀霆,臺北市萬華區武昌街2段68號,107/01/26,文教、樂器、育樂用品零售業便利商店業除許可業務外，得經營法令非禁止或限制之業務,2018,武昌街2段,
新日光企業社,陳韋如,臺北市萬華區西寧南路36之57號,107/01/30,電腦及事務性機器設備零售業電信器材零售業照相器材零售業電信業務門號代辦業除許可業務外，得經營法令非禁止或限制之業務,2018,西寧南路,
玩宸企業社,林久鈺,臺北市萬華區峨眉街6巷2號,107/01/03,實境體感應用服務業,2018,峨眉街,
千暉鵝肉店,劉士豪,臺北市萬華區成都路27巷27號,107/01/24,餐館業,2018,成都路,
炸嘎小吃店,廖甫凰,臺北市萬華區武昌街2段134號1樓,107/02/05,食品什貨、飲料零售業飲料店業其他餐飲業餐館業,2018,武昌街2段,
炸嘎小吃店,廖甫凰,臺北市萬華區武昌街2段134號1樓,107/02/05,食品什貨、飲料零售業飲料店業其他餐飲業餐館業,2018,武昌街2段,
大宇宙小吃店,李宗弦,臺北市萬華區康定路116號1樓,107/02/06,餐館業食品什貨、飲料零售業除許可業務外，得經營法令非禁止或限制之業務,2018,康定路,
大千世界小吃店,魏碧雲,臺北市萬華區康定路120號,107/02/06,餐館業食品什貨、飲料零售業除許可業務外，得經營法令非禁止或限制之業務,2018,康定路,
圖肉蛙食府,陳柏安,臺北市萬華區西寧南路70號地下1層之7,NA,或限制之業務107/02/14餐館業除許可業務外，得經營法令非禁止,2018,西寧南路,
富發手作企業社,劉家堯,臺北市萬華區武昌街2段50巷19號,107/02/27,布疋、衣著、鞋、帽、傘、服飾品零售業家具、寢具、廚房器具、裝設品零售業日常用品零售業無店面零售業其他綜合零售業國際貿易業產品設計業,2018,武昌街2段,
瘋潮通訊企業社,楊幸娟,臺北市萬華區西寧南路36之20號,107/03/01,文教、樂器、育樂用品批發業電器批發業電腦及事務性機器設備批發業電信器材批發業電池批發業資訊軟體批發業電子材料批發業電器零售業電腦及事務性機器設備零售業電信器材零售業電池零售業無店面零售業國際貿易業除許可業務外，得經營法令非禁止,2018,西寧南路,
唐舖子企業社,吳兆宜,臺北市萬華區漢中街110之1號,107/03/02,飲料批發業茶葉批發業食品什貨批發業食品什貨、飲料零售業其他零售業其他綜合零售業除許可業務外，得經營法令非禁止或限制之業務,2018,漢中街,
百元寶選物販賣屋,趙純德,臺北市萬華區中華路1段216號,107/03/08,文教、樂器、育樂用品零售業,2018,中華路1段,
共享服飾店,江承恭,臺北市萬華區漢中街107之1號,107/03/13,布疋、衣著、鞋、帽、傘、服飾品零售業除許可業務外，得經營法令非禁止或限制之業務,2018,漢中街,
珍滿足養生館,江明書,臺北市萬華區西寧南路93號1樓,107/03/13,美容美髮服務業瘦身美容業,2018,西寧南路,
福昌娛樂企業社,郭育君,臺北市萬華區漢中街34之1號,107/03/14,文教、樂器、育樂用品零售業便利商店業除許可業務外，得經營法令非禁止或限制之業務,2018,漢中街,
澔祺商行,劉秀玲,臺北市萬華區武昌街2段82巷2弄2號,107/03/21,食品什貨、飲料零售業飲料店業餐館業,2018,武昌街2段,
萬華鏡商號,萬逸安,臺北市萬華區康定路263號,107/03/26,飲料店業,2018,康定路,
天空商行,黃鈞成,臺北市萬華區西寧南路36之45號,107/03/27,食品什貨、飲料零售業布疋、衣著、鞋、帽、傘、服飾品零售業日常用品零售業,2018,西寧南路,
摳摳尊商行,楊惠琳,臺北市萬華區中華路1段114巷4號1樓,107/03/28,文教、樂器、育樂用品零售業,2018,中華路1段,
銅板商行,高敏真,臺北市萬華區中華路1段114巷31號1樓、2樓,107/03/29,文教、樂器、育樂用品零售業食品什貨、飲料零售業日常用品零售業化_品零售業首飾及貴金屬零售業電子材料零售業除許可業務外，得經營法令非禁止或限制之業務,2018,中華路1段,
十八男女會館,林信德,臺北市萬華區昆明街191號,107/03/30,傳統整復推拿業按摩業腳底按摩業除許可業務外，得經營法令非禁止,2018,昆明街,
紫城牛肉麵館,高文煒,臺北市萬華區昆明街109號1樓,107/03/16,餐館業,2018,昆明街,
加賀百貨行,蕭永康,臺北市萬華區西寧南路48之5號1樓,107/04/17,文教、樂器、育樂用品零售業除許可業務外，得經營法令非禁止或限制之業務,2018,西寧南路,
好客撞球場,方韋中,臺北市萬華區漢口街2段54號地下,107/04/03,競技及休閒運動場館業,2018,漢口街2段,
怡蘭小吃店,丁怡如,臺北市萬華區成都路123號,107/04/13,餐館業飲料店業其他餐飲業除許可業務外，得經營法令非禁止,2018,成都路,
搏起國際企業社,劉政叡,臺北市萬華區昆明街283號1樓,107/04/20,布疋、衣著、鞋、帽、傘、服飾品零售業除許可業務外，得經營法令非禁止或限制之業務,2018,昆明街,
